,class,precision,recall,f1-score,support
0,__label__EDUCATION,0.991,0.933,0.961,3449.0
1,__label__FOOD_AND_BEVERAGES,0.994,0.997,0.995,366944.0
2,__label__GENERAL_MERCHANDISE,0.996,0.994,0.995,392116.0
3,__label__GROCERIES,0.996,0.996,0.996,164324.0
4,__label__MORTGAGE,1.0,0.999,0.999,771.0
5,__label__OVERDRAFT,1.0,0.998,0.999,2595.0
6,__label__PETS,0.999,0.984,0.991,7044.0
7,__label__RENT,0.998,0.972,0.985,2217.0
8,__label__TRAVEL,0.997,0.995,0.996,44016.0
9,macro avg,0.997,0.985,0.991,983476.0
10,weighted avg,0.995,0.995,0.995,983476.0
OVERALL_ACCURACY,,0.995,0.995,0.995,0.995
